metric,equal_split,optimized,lift_%
conversions,111.92216127426326,121.42741595669013,8.49
deduped_reach_fraction,0.6109249013525437,0.4584742657241581,-24.95
deduped_reach_people,610924.9013525437,458474.2657241581,-24.95
