channel,opt_spend,marginal_roi_per_dollar
Streaming,40111.50852981162,0.0020567968291106903
YouTube,21901.70739128767,0.001555641264478993
LinearTV,66111.35030564487,0.0007206073464850183
Display,14007.58370918938,0.00046032083321707163
Social,13733.71676801129,-0.0006367987458401885
