channel,LR_RMSE,LR_MAE,LR_R2,XGB_RMSE,XGB_MAE,XGB_R2
YouTube,5.0158712951831115,4.100321665398917,0.2090445109589919,5.734972686194645,4.482892307132106,-0.034003440025011544
Streaming,5.0729837264929305,3.9828983482214335,0.04143518665846668,6.015083041044925,4.807893057232342,-0.3476521218328892
Display,4.861436101355886,3.994283049556697,0.07535499975159576,6.428610092996042,5.086450095561126,-0.6168883570297288
LinearTV,5.982969928975621,4.856072492430163,0.16334002775917222,6.872322527119564,5.456089487901846,-0.10388140678640778
Social,6.010825210536987,4.764577980343212,-0.19695778633737948,7.188713363565351,5.704984776891198,-0.7120363061430408
