channel,spend,pred_conversions_lr,pred_conversions_xgb
LinearTV,12443.613961829164,10.316630771556248,17.72041
LinearTV,13338.151370524254,10.79251186456711,17.72041
LinearTV,14232.688779219345,11.23946684016294,17.72041
LinearTV,15127.226187914435,11.66096494746548,17.72041
LinearTV,16021.763596609526,12.059882014068478,17.72041
LinearTV,16916.301005304616,12.438628870278158,17.72041
LinearTV,17810.838413999707,12.79924676434598,17.72041
LinearTV,18705.375822694798,13.143479461358616,17.72041
LinearTV,19599.913231389888,13.472828550824929,17.72041
LinearTV,20494.45064008498,13.788596451234255,17.72041
LinearTV,21388.98804878007,14.09192025900392,17.72041
LinearTV,22283.52545747516,14.38379868765486,17.72041
LinearTV,23178.06286617025,14.665113725161092,17.72041
LinearTV,24072.60027486534,14.93664820655684,17.72041
LinearTV,24967.13768356043,15.19910019366246,17.72041
LinearTV,25861.675092255522,15.453094834426139,17.72041
LinearTV,26756.212500950613,15.699194214614721,17.09725
LinearTV,27650.749909645703,15.937905596798174,17.09725
LinearTV,28545.287318340794,16.16968835374105,17.952393
LinearTV,29439.82472703588,16.394959837130642,16.871012
LinearTV,30334.36213573097,16.614100372209478,14.5145645
LinearTV,31228.89954442606,16.82745753020717,14.608035
LinearTV,32123.436953121152,17.035349800513856,11.759154
LinearTV,33017.97436181625,17.23806976115563,17.138823
LinearTV,33912.51177051134,17.435886827738784,19.475319
LinearTV,34807.04917920643,17.629049646460714,16.883703
LinearTV,35701.58658790152,17.81778818516665,16.883703
LinearTV,36596.12399659661,18.002315567108482,23.161358
LinearTV,37490.6614052917,18.18282968453545,21.695768
LinearTV,38385.19881398679,18.359514623137215,18.713938
LinearTV,39279.73622268188,18.532541923372776,18.713938
LinearTV,40174.27363137697,18.702071700628636,19.76692
LinearTV,41068.81104007206,18.868253642778427,19.76692
LinearTV,41963.34844876715,19.031227900923327,21.895332
LinearTV,42857.88585746224,19.19112588677166,19.361828
LinearTV,43752.42326615733,19.348070988176133,25.931416
LinearTV,44646.960674852424,19.50217921272116,18.310753
LinearTV,45541.49808354751,19.653559767884076,20.846624
LinearTV,46436.0354922426,19.802315585137308,21.567678
LinearTV,47330.57290093769,19.948543794378566,22.727947
LinearTV,48225.11030963278,20.092336154241963,28.25673
LinearTV,49119.64771832787,20.233779443131112,21.452633
LinearTV,50014.18512702296,20.372955815206396,22.998177
LinearTV,50908.72253571805,20.50994312503485,23.89852
LinearTV,51803.25994441314,20.644815224161647,18.18645
LinearTV,52697.79735310823,20.77764223247182,18.571598
LinearTV,53592.33476180332,20.90849078687573,21.810562
LinearTV,54486.87217049841,21.037424269557988,22.872156
LinearTV,55381.4095791935,21.164503017776525,22.489906
LinearTV,56275.946987888594,21.289784516975445,23.770702
LinearTV,57170.484396583684,21.413323578782425,26.889652
LinearTV,58065.021805278775,21.535172505290802,20.638824
LinearTV,58959.559213973866,21.655381240877503,20.063314
LinearTV,59854.096622668956,21.773997512676686,23.702581
LinearTV,60748.63403136405,21.89106696071306,22.64122
LinearTV,61643.17144005914,22.00663325859678,23.700607
LinearTV,62537.70884875423,22.120738225590898,23.762997
LinearTV,63432.24625744932,22.233421930782725,21.953474
LinearTV,64326.78366614441,22.34472279001811,24.003601
LinearTV,65221.3210748395,22.454677656195344,24.024122
LinearTV,66115.8584835346,22.56332190345786,23.24451
LinearTV,67010.39589222969,22.670689505775,21.825663
LinearTV,67904.93330092478,22.776813110354396,25.228615
LinearTV,68799.47070961987,22.88172410628964,23.260887
LinearTV,69694.00811831496,22.985452688810184,23.170511
LinearTV,70588.54552701005,23.088027919467876,28.629913
LinearTV,71483.08293570514,23.189477782565362,20.440437
LinearTV,72377.62034440023,23.289829238104844,20.312645
LinearTV,73272.15775309532,23.389108271512328,24.652275
LinearTV,74166.69516179041,23.48733994037039,18.057882
LinearTV,75061.2325704855,23.584548418373373,27.41902
LinearTV,75955.7699791806,23.68075703670128,21.990204
LinearTV,76850.30738787568,23.775988322992248,15.935184
LinearTV,77744.84479657077,23.870264038079824,26.400331
LinearTV,78639.38220526585,23.963605210646605,26.789278
LinearTV,79533.91961396094,24.056032169935804,26.789278
LinearTV,80428.45702265603,24.147564576649103,27.723125
LinearTV,81322.99443135112,24.238221452151265,27.459599
LinearTV,82217.53184004621,24.328021206091435,22.343903
LinearTV,83112.0692487413,24.416981662543208,20.85029
LinearTV,84006.6066574364,24.50512008475829,20.221987
LinearTV,84901.14406613148,24.59245319862096,22.378569
LinearTV,85795.68147482658,24.678997214884575,22.378569
LinearTV,86690.21888352167,24.764767850265542,21.284262
LinearTV,87584.75629221676,24.849780347464346,21.970705
LinearTV,88479.29370091185,24.93404949417892,22.28151
LinearTV,89373.83110960694,25.01758964117043,22.601034
LinearTV,90268.36851830203,25.100414719438064,22.601034
LinearTV,91162.90592699712,25.18253825655482,23.744877
LinearTV,92057.44333569221,25.263973392213387,31.059986
LinearTV,92951.9807443873,25.344732893027285,31.059986
LinearTV,93846.51815308239,25.424829166630204,31.059986
LinearTV,94741.05556177748,25.50427427511289,31.059986
LinearTV,95635.59297047257,25.583079947834534,31.059986
LinearTV,96530.13037916766,25.66125759364394,31.059986
LinearTV,97424.66778786275,25.73881831254205,31.059986
LinearTV,98319.20519655784,25.815772906817145,31.059986
LinearTV,99213.74260525293,25.892131891680307,31.059986
LinearTV,100108.28001394802,25.967905505428632,31.059986
LinearTV,101002.81742264311,26.04310371916057,31.059986
LinearTV,101897.3548313382,26.11773624606741,31.059986
LinearTV,102791.8922400333,26.191812550322496,31.059986
